Cuenta;Descripción
4.1.3.01.000;Ingresos por Cursos
4.1.3.02.000;Ingresos por Carreras
4.1.3.03.000;Revista
4.1.3.04.000;Bonificac. y Descto. Obtenidos
4.2.0.00.000;ORDINARIOS NO OPERATIVOS
4.2.1.00.000;BOX COOPERADORA
4.2.1.01.000;Donaciones
4.2.1.02.000;Rdo. Vta. Bienes de Uso
4.2.1.03.000;Amortizaciones
4.2.1.04.000;Sueldos Fábrica
4.2.1.05.000;Cargas Sociales Fábrica
4.2.1.06.000;Gastos Varios Fábrica
4.2.2.00.000;CENTRO ODONTOLOGICO
4.2.2.01.000;Sueldos Comercialización
4.2.2.02.000;Cargas Sociales Comercialización
4.2.2.03.000;Gastos de Embalaje y Fletes
4.2.2.04.000;Movilidad
4.2.2.05.000;Impuestos y Tasas
4.2.2.06.000;Alquileres
4.2.2.07.000;Publicidad e Imprenta
4.2.2.08.000;Bonificaciones Concedidas
4.2.2.09.000;Ingresos Brutos
4.2.2.10.000;Gastos Varios de Comercialización
4.2.3.00.000;SECRETARIA POSTGRADO
4.2.3.01.000;Honorarios
4.2.3.02.000;Sueldos Administración
4.2.3.03.000;Cargas Sociales Administración
4.2.3.04.000;Papelería y Utiles de Oficina
4.2.3.05.000;Tenencia de moneda extranjera
4.2.4.00.000;GASTOS FINANCIEROS
4.2.4.01.000;Intereses y Gastos Bancarios
4.2.4.02.000;Int. Y Recargos Fiscales
4.2.4.03.000;Intereses Varios
4.2.4.04.000;Descuentos Concedidos
4.2.5.00.000;OTROS INGRESOS
4.2.5.01.000;Seguros
4.3.0.00.000;EXTRAORDINARIOS
4.3.1.00.000;BOX COOPERADORA
4.3.2.00.000;CENTRO ODONTOLOGICO
4.3.3.00.000;SECRETARIA POSTGRADO
5.0.0.00.000;EGRESOS
5.1.0.00.000;ORDINARIOS OPERATIVOS
5.1.1.00.000;Costo de Produccion y Venta 
5.1.1.01.000;BOX COOPERADORA
5.1.1.01.001;Cino 
5.1.1.01.002;Catedras
5.1.1.01.003;Laboratorios Insumos 
5.1.1.01.004;Laboratorios Protesis 
5.1.1.01.005;Insumos Odontológicos 
5.1.1.01.006;Revista Fount 
5.1.1.01.007;Congreso - Jornadas
5.1.1.02.000;CENTRO ODONTOLOGICO
5.1.1.02.001;Materiales Descartables 
5.1.1.02.002;Medicamentos 
5.1.1.02.003;Laboratorio de Prótesis
5.1.1.03.000;SECRETARIA POSTGRADO
5.1.1.03.001;Honorarios Expositores 
5.1.1.03.002;Publicidad Cursos 
5.1.1.03.003;Insumos
5.1.1.03.004;Libreria Biblioteca 
5.1.2.00.000;GASTOS CATEDRAS Y LABORATORIOS
5.1.2.01.000;Anatomia 
5.1.2.02.000;Histologia 
5.1.2.03.000;Quimica
5.1.2.04.000;Biofisica
5.1.2.05.000;Biomateriales 
5.1.2.06.000;Fisiologia 
5.1.2.07.000;Ingles 
5.1.2.08.000;Oclusion
5.1.2.09.000;Tecnica Operatoria 
5.1.2.10.000;Tecnica de Protesis 
5.1.2.11.000;Anatomia Patologica 
5.1.2.12.000;Semiologia 
5.1.2.13.000;Farmacologia 
5.1.2.14.000;Periodoncia
5.1.2.15.000;Cirugia I 
5.1.2.16.000;Preventiva 
5.1.2.17.000;Cirugia II 
5.1.2.18.000;Odontopediatria 
5.1.2.19.000;Ortodoncia 
5.1.2.20.000;Legal 
5.1.2.21.000;Endodoncia
5.1.2.22.000;Laboratorio Insumos 
5.1.2.23.000;Laboratorio Protesis 
5.1.2.24.000;Biblioteca
5.1.2.25.000;Cino
5.1.2.26.000;Revista Fount 
5.1.2.27.000;Salud Mental
5.1.2.28.000;Microbiología - Parasitología 
5.1.2.29.000;Diagnostico
5.1.2.30.000;MIO
5.1.2.31.000;CENA 2018
5.1.2.32.000;Laburatorio Microbiologia 
5.1.2.33.000;Centro Odontológico 
5.1.2.34.000;Postgrado
5.1.2.35.000;Facultad
5.1.2.36.000;Clinica de Prótesis
5.1.2.37.000;Box
